작물명,시작 가격,종료 가격,상승 비율
바나나,2457.0,2778.9456945775364,0.13103202872508604
감자,292.6,315.27616621516813,0.07749885924527719
멜론,8140.0,8717.029728840287,0.07088817307620235
파,297.5,309.3665762370712,0.039887651217045954
고구마,5378.0,5541.736992303926,0.030445703291916315
당근,650.3,629.7084027014416,-0.031664765951958065
열무,4360.0,4117.158628835548,-0.05569756219368157
복숭아,1824.4,1582.500351097165,-0.1325913444983748
참외,1488.5,1219.4524919053626,-0.18075076123254105
배,9578.0,7263.369539215082,-0.2416611464590643
